2026-06-12 17:34:24 | SESSION_START | speaker=Jovin | confidence=n/a | motor=n/a | vision node online
2026-06-12 17:34:25 | MOTOR_COMMAND | speaker=Jovin | confidence=0.00 | motor=NO_FACE | published=NO_FACE
2026-06-12 17:34:41 | LOCK_ACQUIRED | speaker=Jovin | confidence=0.53 | motor=n/a | target entered frame
2026-06-12 17:34:41 | MOVED_LEFT | speaker=Jovin | confidence=0.53 | motor=n/a | cx_norm=0.18
2026-06-12 17:34:41 | MOTOR_COMMAND | speaker=Jovin | confidence=0.53 | motor=CENTERED | published=CENTERED
2026-06-12 17:34:42 | STOPPED | speaker=Jovin | confidence=0.43 | motor=n/a | cx_norm=0.41
2026-06-12 17:34:42 | MOVED_RIGHT | speaker=Jovin | confidence=0.45 | motor=n/a | cx_norm=0.60
2026-06-12 17:34:43 | STOPPED | speaker=Jovin | confidence=0.77 | motor=n/a | cx_norm=0.60
2026-06-12 17:34:43 | MOVED_RIGHT | speaker=Jovin | confidence=0.75 | motor=n/a | cx_norm=0.61
2026-06-12 17:34:50 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:34:50 | BACK_IN_FRAME | speaker=Jovin | confidence=0.64 | motor=n/a | target visible again after occlusion
2026-06-12 17:34:50 | MOVED_RIGHT | speaker=Jovin | confidence=0.64 | motor=n/a | cx_norm=0.62
2026-06-12 17:34:51 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:34:52 | BACK_IN_FRAME | speaker=Jovin | confidence=0.69 | motor=n/a | target visible again after occlusion
2026-06-12 17:34:52 | MOVED_RIGHT | speaker=Jovin | confidence=0.69 | motor=n/a | cx_norm=0.62
2026-06-12 17:34:52 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:34:52 | BACK_IN_FRAME | speaker=Jovin | confidence=0.67 | motor=n/a | target visible again after occlusion
2026-06-12 17:34:52 | MOVED_RIGHT | speaker=Jovin | confidence=0.67 | motor=n/a | cx_norm=0.62
2026-06-12 17:34:53 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:34:56 | LOCK_LOST | speaker=Jovin | confidence=n/a | motor=n/a | target left frame beyond tolerance
2026-06-12 17:34:56 | MOTOR_COMMAND | speaker=Jovin | confidence=0.00 | motor=NO_FACE | published=NO_FACE
2026-06-12 17:35:02 | LOCK_ACQUIRED | speaker=Jovin | confidence=0.58 | motor=n/a | target entered frame
2026-06-12 17:35:02 | MOVED_RIGHT | speaker=Jovin | confidence=0.58 | motor=n/a | cx_norm=0.77
2026-06-12 17:35:02 | MOTOR_COMMAND | speaker=Jovin | confidence=0.58 | motor=CENTERED | published=CENTERED
2026-06-12 17:35:02 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:35:03 | BACK_IN_FRAME | speaker=Jovin | confidence=0.72 | motor=n/a | target visible again after occlusion
2026-06-12 17:35:03 | STOPPED | speaker=Jovin | confidence=0.72 | motor=n/a | cx_norm=0.55
2026-06-12 17:35:03 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:35:03 | BACK_IN_FRAME | speaker=Jovin | confidence=0.71 | motor=n/a | target visible again after occlusion
2026-06-12 17:35:03 | STOPPED | speaker=Jovin | confidence=0.71 | motor=n/a | cx_norm=0.55
2026-06-12 17:35:03 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 17:35:03 | BACK_IN_FRAME | speaker=Jovin | confidence=0.71 | motor=n/a | target visible again after occlusion
2026-06-12 17:35:03 | STOPPED | speaker=Jovin | confidence=0.71 | motor=n/a | cx_norm=0.55
2026-06-12 17:35:03 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
