2026-06-12 16:06:11 | SESSION_START | speaker=Jovin | confidence=n/a | motor=n/a | vision node online
2026-06-12 16:06:12 | MOTOR_COMMAND | speaker=Jovin | confidence=0.00 | motor=NO_FACE | published=NO_FACE
2026-06-12 16:06:18 | LOCK_ACQUIRED | speaker=Jovin | confidence=0.77 | motor=n/a | target entered frame
2026-06-12 16:06:18 | STOPPED | speaker=Jovin | confidence=0.77 | motor=n/a | cx_norm=0.50
2026-06-12 16:06:18 | MOTOR_COMMAND | speaker=Jovin | confidence=0.77 | motor=CENTERED | published=CENTERED
2026-06-12 16:06:18 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:06:18 | BACK_IN_FRAME | speaker=Jovin | confidence=0.82 | motor=n/a | target visible again after occlusion
2026-06-12 16:06:18 | STOPPED | speaker=Jovin | confidence=0.82 | motor=n/a | cx_norm=0.51
2026-06-12 16:06:19 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:06:19 | BACK_IN_FRAME | speaker=Jovin | confidence=0.66 | motor=n/a | target visible again after occlusion
2026-06-12 16:06:19 | STOPPED | speaker=Jovin | confidence=0.66 | motor=n/a | cx_norm=0.52
2026-06-12 16:06:19 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:06:19 | BACK_IN_FRAME | speaker=Jovin | confidence=0.81 | motor=n/a | target visible again after occlusion
2026-06-12 16:06:19 | STOPPED | speaker=Jovin | confidence=0.81 | motor=n/a | cx_norm=0.52
2026-06-12 16:06:19 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:06:19 | BACK_IN_FRAME | speaker=Jovin | confidence=0.85 | motor=n/a | target visible again after occlusion
2026-06-12 16:06:19 | STOPPED | speaker=Jovin | confidence=0.85 | motor=n/a | cx_norm=0.52
2026-06-12 16:06:21 | MOVED_RIGHT | speaker=Jovin | confidence=0.75 | motor=n/a | cx_norm=0.61
2026-06-12 16:06:21 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:06:21 | BACK_IN_FRAME | speaker=Jovin | confidence=0.74 | motor=n/a | target visible again after occlusion
2026-06-12 16:06:21 | MOVED_RIGHT | speaker=Jovin | confidence=0.74 | motor=n/a | cx_norm=0.63
2026-06-12 16:06:21 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:06:22 | MOTOR_COMMAND | speaker=Jovin | confidence=0.00 | motor=NO_FACE | published=NO_FACE
2026-06-12 16:06:22 | LOCK_LOST | speaker=Jovin | confidence=n/a | motor=n/a | target left frame beyond tolerance
2026-06-12 16:06:23 | LOCK_ACQUIRED | speaker=Jovin | confidence=0.68 | motor=n/a | target entered frame
2026-06-12 16:06:23 | MOVED_RIGHT | speaker=Jovin | confidence=0.68 | motor=n/a | cx_norm=0.80
2026-06-12 16:06:23 | MOTOR_COMMAND | speaker=Jovin | confidence=0.68 | motor=MOVE_RIGHT | published=MOVE_RIGHT
2026-06-12 16:06:24 | MOTOR_COMMAND | speaker=Jovin | confidence=0.79 | motor=CENTERED | published=CENTERED
2026-06-12 16:06:24 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:06:24 | BACK_IN_FRAME | speaker=Jovin | confidence=0.77 | motor=n/a | target visible again after occlusion
2026-06-12 16:06:24 | STOPPED | speaker=Jovin | confidence=0.77 | motor=n/a | cx_norm=0.58
2026-06-12 16:06:24 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:06:24 | BACK_IN_FRAME | speaker=Jovin | confidence=0.74 | motor=n/a | target visible again after occlusion
2026-06-12 16:06:24 | STOPPED | speaker=Jovin | confidence=0.74 | motor=n/a | cx_norm=0.47
2026-06-12 16:06:24 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:06:24 | BACK_IN_FRAME | speaker=Jovin | confidence=0.65 | motor=n/a | target visible again after occlusion
2026-06-12 16:06:24 | STOPPED | speaker=Jovin | confidence=0.65 | motor=n/a | cx_norm=0.44
2026-06-12 16:06:24 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:06:24 | BACK_IN_FRAME | speaker=Jovin | confidence=0.58 | motor=n/a | target visible again after occlusion
2026-06-12 16:06:24 | STOPPED | speaker=Jovin | confidence=0.58 | motor=n/a | cx_norm=0.42
2026-06-12 16:06:25 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:06:25 | BACK_IN_FRAME | speaker=Jovin | confidence=0.68 | motor=n/a | target visible again after occlusion
2026-06-12 16:06:25 | MOVED_LEFT | speaker=Jovin | confidence=0.68 | motor=n/a | cx_norm=0.39
2026-06-12 16:06:25 | MOTOR_COMMAND | speaker=Jovin | confidence=0.59 | motor=MOVE_LEFT | published=MOVE_LEFT
2026-06-12 16:06:25 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:06:26 | BACK_IN_FRAME | speaker=Jovin | confidence=0.72 | motor=n/a | target visible again after occlusion
2026-06-12 16:06:26 | MOVED_LEFT | speaker=Jovin | confidence=0.72 | motor=n/a | cx_norm=0.29
2026-06-12 16:06:26 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:06:26 | BACK_IN_FRAME | speaker=Jovin | confidence=0.75 | motor=n/a | target visible again after occlusion
2026-06-12 16:06:26 | MOVED_LEFT | speaker=Jovin | confidence=0.75 | motor=n/a | cx_norm=0.27
2026-06-12 16:06:26 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
