2026-06-12 16:25:25 | SESSION_START | speaker=Jovin | confidence=n/a | motor=n/a | vision node online
2026-06-12 16:25:26 | MOTOR_COMMAND | speaker=Jovin | confidence=0.00 | motor=NO_FACE | published=NO_FACE
2026-06-12 16:25:38 | LOCK_ACQUIRED | speaker=Jovin | confidence=0.41 | motor=n/a | target entered frame
2026-06-12 16:25:38 | MOVED_LEFT | speaker=Jovin | confidence=0.41 | motor=n/a | cx_norm=0.22
2026-06-12 16:25:38 | MOTOR_COMMAND | speaker=Jovin | confidence=0.70 | motor=MOVE_LEFT | published=MOVE_LEFT
2026-06-12 16:25:38 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:25:38 | BACK_IN_FRAME | speaker=Jovin | confidence=0.62 | motor=n/a | target visible again after occlusion
2026-06-12 16:25:38 | MOVED_LEFT | speaker=Jovin | confidence=0.62 | motor=n/a | cx_norm=0.33
2026-06-12 16:25:38 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:25:38 | BACK_IN_FRAME | speaker=Jovin | confidence=0.49 | motor=n/a | target visible again after occlusion
2026-06-12 16:25:38 | STOPPED | speaker=Jovin | confidence=0.49 | motor=n/a | cx_norm=0.41
2026-06-12 16:25:38 | MOTOR_COMMAND | speaker=Jovin | confidence=0.69 | motor=CENTERED | published=CENTERED
2026-06-12 16:25:38 | MOVED_LEFT | speaker=Jovin | confidence=0.63 | motor=n/a | cx_norm=0.40
2026-06-12 16:25:39 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:25:39 | BACK_IN_FRAME | speaker=Jovin | confidence=0.57 | motor=n/a | target visible again after occlusion
2026-06-12 16:25:39 | STOPPED | speaker=Jovin | confidence=0.57 | motor=n/a | cx_norm=0.50
2026-06-12 16:25:39 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:25:39 | BACK_IN_FRAME | speaker=Jovin | confidence=0.69 | motor=n/a | target visible again after occlusion
2026-06-12 16:25:39 | STOPPED | speaker=Jovin | confidence=0.69 | motor=n/a | cx_norm=0.57
2026-06-12 16:25:39 | MOVED_RIGHT | speaker=Jovin | confidence=0.73 | motor=n/a | cx_norm=0.60
2026-06-12 16:25:39 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:25:39 | BACK_IN_FRAME | speaker=Jovin | confidence=0.57 | motor=n/a | target visible again after occlusion
2026-06-12 16:25:39 | MOVED_RIGHT | speaker=Jovin | confidence=0.57 | motor=n/a | cx_norm=0.68
2026-06-12 16:25:39 | MOTOR_COMMAND | speaker=Jovin | confidence=0.57 | motor=MOVE_RIGHT | published=MOVE_RIGHT
2026-06-12 16:25:39 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:25:40 | BACK_IN_FRAME | speaker=Jovin | confidence=0.60 | motor=n/a | target visible again after occlusion
2026-06-12 16:25:40 | MOVED_RIGHT | speaker=Jovin | confidence=0.60 | motor=n/a | cx_norm=0.82
2026-06-12 16:25:40 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:25:40 | MOTOR_COMMAND | speaker=Jovin | confidence=0.00 | motor=NO_FACE | published=NO_FACE
2026-06-12 16:25:41 | LOCK_LOST | speaker=Jovin | confidence=n/a | motor=n/a | target left frame beyond tolerance
2026-06-12 16:25:44 | LOCK_ACQUIRED | speaker=Jovin | confidence=0.41 | motor=n/a | target entered frame
2026-06-12 16:25:44 | MOVED_RIGHT | speaker=Jovin | confidence=0.41 | motor=n/a | cx_norm=0.82
2026-06-12 16:25:44 | MOTOR_COMMAND | speaker=Jovin | confidence=0.41 | motor=MOVE_RIGHT | published=MOVE_RIGHT
2026-06-12 16:25:44 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:25:44 | BACK_IN_FRAME | speaker=Jovin | confidence=0.41 | motor=n/a | target visible again after occlusion
2026-06-12 16:25:44 | MOVED_RIGHT | speaker=Jovin | confidence=0.41 | motor=n/a | cx_norm=0.74
2026-06-12 16:25:44 | OUT_OF_FRAME | speaker=Jovin | confidence=n/a | motor=n/a | lost_frames=1
2026-06-12 16:25:44 | BACK_IN_FRAME | speaker=Jovin | confidence=0.41 | motor=n/a | target visible again after occlusion
2026-06-12 16:25:44 | MOVED_RIGHT | speaker=Jovin | confidence=0.41 | motor=n/a | cx_norm=0.65
2026-06-12 16:25:44 | MOTOR_COMMAND | speaker=Jovin | confidence=0.69 | motor=CENTERED | published=CENTERED
